scope_type,regime,campus,size,crew_multiplier,arrival_multiplier,seed,pdr,n_pairs,mean_rl,mean_pdr,delta,wilcoxon_p,wins,ties,losses,beats
cell,pmmix,9,400,0.8,1.0,301,wspt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,302,wspt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,303,wspt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,pooled,wspt,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
cell,pmmix,9,400,0.8,1.0,301,atc,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,302,atc,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,303,atc,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,pooled,atc,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
cell,pmmix,9,400,0.8,1.0,301,pfifo,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,302,pfifo,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,303,pfifo,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,pooled,pfifo,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
cell,pmmix,9,400,0.8,1.0,301,lpt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,302,lpt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,303,lpt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,0.8,1.0,pooled,lpt,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
cell,pmmix,9,400,1.0,1.0,301,edd,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,302,edd,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,303,edd,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,pooled,edd,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
cell,pmmix,9,400,1.0,1.0,301,wspt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,302,wspt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,303,wspt,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,pooled,wspt,270,311.7307422222222,311.7307422222222,0.0,1.0,0,270,0,0
cell,pmmix,9,400,1.0,1.0,301,atc,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
cell,pmmix,9,400,1.0,1.0,302,atc,90,311.7307422222222,311.7307422222222,0.0,1.0,0,90,0,0
