id,campus,size,method,wvec,w1,w2,w3,w4,twt
c05_replay_150_0104,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0104,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0104,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0104,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0104,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0104,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0104,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0105,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0105,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0105,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0105,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0105,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0105,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0105,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0106,5,150,edd,baseline,8.0,4.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,wspt,baseline,8.0,4.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,atc,baseline,8.0,4.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,mor,baseline,8.0,4.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,random,baseline,8.0,4.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,edd,flat,4.0,3.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,wspt,flat,4.0,3.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,atc,flat,4.0,3.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,pfifo,flat,4.0,3.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,mor,flat,4.0,3.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,random,flat,4.0,3.0,2.0,1.0,1.0
c05_replay_150_0106,5,150,edd,steep,27.0,9.0,3.0,1.0,1.5
c05_replay_150_0106,5,150,wspt,steep,27.0,9.0,3.0,1.0,1.5
c05_replay_150_0106,5,150,atc,steep,27.0,9.0,3.0,1.0,1.5
c05_replay_150_0106,5,150,pfifo,steep,27.0,9.0,3.0,1.0,1.5
c05_replay_150_0106,5,150,mor,steep,27.0,9.0,3.0,1.0,1.5
c05_replay_150_0106,5,150,random,steep,27.0,9.0,3.0,1.0,1.5
c05_replay_150_0107,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0107,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0107,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0107,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0107,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0107,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0107,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0108,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0108,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0108,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0108,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0108,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0108,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0108,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0109,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0109,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0109,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0109,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0109,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0109,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0109,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0110,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0110,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0110,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0110,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0110,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0110,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0110,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0111,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0111,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0111,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0111,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0111,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0111,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0111,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0112,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0112,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0112,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0112,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0112,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0112,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0112,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0113,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0113,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0113,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0113,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0113,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0113,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0113,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0114,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0114,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0114,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0114,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0114,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0114,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0114,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0115,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0115,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0115,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0115,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0115,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0115,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0115,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0116,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0116,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0116,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0116,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0116,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0116,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0116,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0117,5,150,edd,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,wspt,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,atc,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,mor,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,random,baseline,8.0,4.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,edd,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,wspt,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,atc,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,pfifo,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,mor,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,random,flat,4.0,3.0,2.0,1.0,0.0
c05_replay_150_0117,5,150,edd,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0117,5,150,wspt,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0117,5,150,atc,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0117,5,150,pfifo,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0117,5,150,mor,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0117,5,150,random,steep,27.0,9.0,3.0,1.0,0.0
c05_replay_150_0118,5,150,edd,baseline,8.0,4.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,wspt,baseline,8.0,4.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,atc,baseline,8.0,4.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,pfifo,baseline,8.0,4.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,mor,baseline,8.0,4.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,random,baseline,8.0,4.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,edd,flat,4.0,3.0,2.0,1.0,2.0
c05_replay_150_0118,5,150,wspt,flat,4.0,3.0,2.0,1.0,2.0
